date,total cases and total deaths(M),symbol
2020/10/30,30.600994,total recovered
2020/10/31,46.117683,total cases
2020/10/31,1.196209,total deaths
2020/10/31,30.845323,total recovered
2020/11/1,46.579884,total cases
2020/11/1,1.201152,total deaths
2020/11/1,31.10327,total recovered
2020/11/2,47.140871,total cases
2020/11/2,1.207222,total deaths
2020/11/2,31.383407,total recovered
2020/11/3,47.693426,total cases
2020/11/3,1.216564,total deaths
2020/11/3,31.63498,total recovered
2020/11/4,48.203697,total cases
2020/11/4,1.226752,total deaths
2020/11/4,31.914299,total recovered
2020/11/5,48.79924,total cases
2020/11/5,1.234763,total deaths
2020/11/5,32.217954,total recovered
2020/11/6,49.442915,total cases
2020/11/6,1.244381,total deaths
2020/11/6,32.506315,total recovered
2020/11/7,50.040908,total cases
2020/11/7,1.25192,total deaths
2020/11/7,32.805331,total recovered
2020/11/8,50.520274,total cases
2020/11/8,1.257688,total deaths
2020/11/8,33.058571,total recovered
2020/11/9,51.022748,total cases
2020/11/9,1.264797,total deaths
2020/11/9,33.315624,total recovered
2020/11/10,51.580637,total cases
2020/11/10,1.274783,total deaths
2020/11/10,33.572984,total recovered
2020/11/11,52.228245,total cases
2020/11/11,1.285187,total deaths
2020/11/11,33.953208,total recovered
2020/11/12,52.87571,total cases
2020/11/12,1.294946,total deaths
2020/11/12,34.179447,total recovered
2020/11/13,53.526599,total cases
2020/11/13,1.304504,total deaths
2020/11/13,34.481579,total recovered
2020/11/14,54.121862,total cases
2020/11/14,1.313512,total deaths
2020/11/14,34.759398,total recovered
2020/11/15,54.596104,total cases
2020/11/15,1.31979,total deaths
2020/11/15,34.990158,total recovered
2020/11/16,55.127112,total cases
2020/11/16,1.32764,total deaths
2020/11/16,35.380888,total recovered
2020/11/17,55.734998,total cases
2020/11/17,1.338726,total deaths
2020/11/17,35.814479,total recovered
2020/11/18,56.361057,total cases
2020/11/18,1.350039,total deaths
2020/11/18,36.177589,total recovered
2020/11/19,57.012958,total cases
2020/11/19,1.360998,total deaths
2020/11/19,36.551888,total recovered
2020/11/20,57.68003,total cases
2020/11/20,1.372825,total deaths
2020/11/20,36.907312,total recovered
2020/11/21,58.268894,total cases
2020/11/21,1.381629,total deaths
2020/11/21,37.246582,total recovered
2020/11/22,58.757253,total cases
2020/11/22,1.388685,total deaths
2020/11/22,37.520306,total recovered
2020/11/23,59.27621,total cases
2020/11/23,1.397003,total deaths
2020/11/23,37.931519,total recovered
2020/11/24,59.865574,total cases
2020/11/24,1.409759,total deaths
2020/11/24,38.303698,total recovered
2020/11/25,60.501579,total cases
2020/11/25,1.421822,total deaths
2020/11/25,38.741108,total recovered
2020/11/26,61.086011,total cases
2020/11/26,1.432564,total deaths
2020/11/26,39.107984,total recovered
2020/11/27,61.7571,total cases
2020/11/27,1.44321,total deaths
2020/11/27,39.48961,total recovered
2020/11/28,62.355818,total cases
2020/11/28,1.452974,total deaths
2020/11/28,39.849316,total recovered
2020/11/29,62.842162,total cases
2020/11/29,1.459909,total deaths
2020/11/29,40.167599,total recovered
2020/11/30,63.347635,total cases
2020/11/30,1.468577,total deaths
2020/11/30,40.569855,total recovered
2020/12/1,63.95613,total cases
2020/12/1,1.481417,total deaths
2020/12/1,41.046059,total recovered
2020/12/2,64.603434,total cases
2020/12/2,1.493824,total deaths
2020/12/2,41.508985,total recovered
2020/12/3,65.295914,total cases
2020/12/3,1.506305,total deaths
2020/12/3,41.935969,total recovered
2020/12/4,65.976648,total cases
2020/12/4,1.518704,total deaths
2020/12/4,42.426586,total recovered
2020/12/5,66.619544,total cases
2020/12/5,1.528903,total deaths
2020/12/5,42.862534,total recovered
2020/12/6,67.158896,total cases
2020/12/6,1.5361,total deaths
2020/12/6,43.178578,total recovered
2020/12/7,67.673996,total cases
2020/12/7,1.544592,total deaths
2020/12/7,43.591717,total recovered
2020/12/8,68.311479,total cases
2020/12/8,1.556866,total deaths
2020/12/8,44.032488,total recovered
2020/12/9,68.980972,total cases
2020/12/9,1.569344,total deaths
2020/12/9,44.458968,total recovered
2020/12/10,70.475025,total cases
2020/12/10,1.581982,total deaths
2020/12/10,44.950194,total recovered
2020/12/11,71.174074,total cases
2020/12/11,1.594878,total deaths
2020/12/11,45.428334,total recovered
2020/12/12,71.797078,total cases
2020/12/12,1.605103,total deaths
2020/12/12,46.933277,total recovered
2020/12/13,72.345678,total cases
2020/12/13,1.612487,total deaths
2020/12/13,47.328396,total recovered
2020/12/14,72.870103,total cases
2020/12/14,1.621452,total deaths
2020/12/14,47.73793,total recovered
2020/12/15,73.494536,total cases
2020/12/15,1.635415,total deaths
2020/12/15,48.187442,total recovered
2020/12/16,74.228327,total cases
2020/12/16,1.64897,total deaths
2020/12/16,48.656444,total recovered
2020/12/17,74.964751,total cases
2020/12/17,1.662217,total deaths
2020/12/17,49.115843,total recovered
2020/12/18,75.682359,total cases
2020/12/18,1.674862,total deaths
2020/12/18,49.50808,total recovered
2020/12/19,76.298735,total cases
2020/12/19,1.685526,total deaths
2020/12/19,49.986502,total recovered
2020/12/20,76.832527,total cases
2020/12/20,1.693205,total deaths
2020/12/20,50.315491,total recovered
2020/12/21,77.37448,total cases
2020/12/21,1.702596,total deaths
2020/12/21,50.767369,total recovered
2020/12/22,78.020948,total cases
2020/12/22,1.717055,total deaths
2020/12/22,51.213767,total recovered
2020/12/23,78.712545,total cases
2020/12/23,1.730663,total deaths
2020/12/23,51.645763,total recovered
2020/12/24,79.384038,total cases
2020/12/24,1.742301,total deaths
2020/12/24,52.063246,total recovered
2020/12/25,79.851573,total cases
2020/12/25,1.750628,total deaths
2020/12/25,52.379438,total recovered
2020/12/26,80.364202,total cases
2020/12/26,1.757722,total deaths
2020/12/26,52.898934,total recovered
2020/12/27,80.797122,total cases
2020/12/27,1.764955,total deaths
2020/12/27,53.248134,total recovered
2020/12/28,81.285853,total cases
2020/12/28,1.77439,total deaths
2020/12/28,53.619396,total recovered
2020/12/29,81.951541,total cases
2020/12/29,1.789915,total deaths
2020/12/29,54.071241,total recovered
2020/12/30,82.70828,total cases
2020/12/30,1.805008,total deaths
2020/12/30,54.565046,total recovered
2020/12/31,83.424446,total cases
2020/12/31,1.818116,total deaths
2020/12/31,54.95194,total recovered
